a,word,level
1572,disturb,A1
1573,disturbing,A3
1574,dive,A1
1576,diverse,A1
1577,diversity,A1
1578,divert,A3
1579,divide,A1
1581,divine,A3
1582,division,A1
1583,divorce,A1
1585,divorced,A1
1586,do,A1
1588,doctor,A1
1589,doctrine,A3
1590,document,A1
1592,documentary,A2
1593,documentation,A3
1594,dog,A1
1595,dollar,A1
1596,domain,A3
1597,domestic,A1
1598,dominance,A3
1599,dominant,A1
1600,dominate,A1
1601,donate,A2
1602,donation,A1
1603,donor,A3
1604,door,A1
1605,dose,A3
1606,dot,A1
1607,double,A1
1612,doubt,A2
1614,down,A1
1616,download,A1
1618,downstairs,A1
1620,downtown,A1
1623,downwards,A1
1624,dozen,A1
1626,draft,A1
1628,drag,A1
1629,drain,A3
1630,drama,A1
1631,dramatic,A1
1632,dramatically,A1
1633,draw,A1
1634,drawing,A1
1635,dream,A1
1637,dress,A1
1639,dressed,A2
1640,drift,A3
1641,drink,A1
1643,drive,A1
1645,driver,A1
1646,driving,A3
1648,drop,A2
1650,drought,A1
1651,drown,A3
1652,drug,A1
1653,drum,A2
1654,drunk,A2
1655,dry,A1
1657,dual,A3
1658,dub,A3
1659,due,A2
1660,dull,A1
1661,dumb,A3
1662,dump,A1
1663,duo,A3
1664,duration,A1
1665,during,A1
1666,dust,A2
1667,duty,A2
1668,dvd,A1
1669,dynamic,A1
1671,each,A1
1674,eager,A3
1675,ear,A1
1676,early,A1
1678,earn,A1
1679,earnings,A3
1680,earth,A1
1681,earthquake,A2
1682,ease,A3
1684,easily,A1
1685,east,A1
1688,eastern,A2
1689,easy,A1
1690,eat,A1
1691,echo,A3
1693,ecological,A3
1694,economic,A2
1695,economics,A1
1696,economist,A1
1697,economy,A2
1698,edge,A2
1699,edit,A1
1700,edition,A1
1701,editor,A2
1702,editorial,A1
1703,educate,A2
1704,educated,A2
1705,education,A1
1706,educational,A2
1707,educator,A3
1708,effect,A1
1709,effective,A2
1710,effectively,A2
1711,effectiveness,A3
1712,efficiency,A3
1713,efficient,A1
1714,efficiently,A1
1715,effort,A2
1716,egg,A1
1717,ego,A3
1718,eight,A1
1719,eighteen,A1
1720,eighty,A1
1721,either,A1
1724,elaborate,A3
1725,elbow,A1
1726,elderly,A1
1727,elect,A1
1728,election,A2
1729,electoral,A3
1730,electric,A1
1731,electrical,A1
1732,electricity,A1
1733,electronic,A1
1734,electronics,A1
1735,elegant,A1
1736,element,A2
1737,elementary,A1
1738,elephant,A1
1739,elevate,A3
1740,eleven,A1
1741,eligible,A3
1742,eliminate,A1
1743,elite,A3
1744,else,A1
1745,elsewhere,A1
1746,email,A1
1748,embark,A3
1749,embarrassed,A2
1750,embarrassing,A2
1751,embarrassment,A3
1752,embassy,A3
1753,embed,A3
1754,embody,A3
1755,embrace,A1
1756,emerge,A1
1757,emergence,A3
1758,emergency,A2
1759,emission,A1
1760,emotion,A2
1761,emotional,A1
1762,emotionally,A1
1763,emphasis,A1
1764,emphasize,A1
1765,empire,A1
1766,empirical,A3
1767,employ,A1
1768,employee,A1
1769,employer,A1
1770,employment,A2
1771,empower,A3
1772,empty,A1
